Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1195.0,Medium
sentul,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1001.0,Medium
dutamas,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1625.0,Medium
sri hartamas,3,2.0,2.0,Condominium,Partly Furnished,Corner,Land area,1194.0,Medium
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1483.0,Medium
jalan ipoh,3,2.0,2.0,Condominium,Unknown,Intermediate,Built-up,1188.0,Medium
dutamas,3,2.0,3.0,Condominium,Fully Furnished,Corner,Built-up,1100.0,Medium
keramat,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Land area,1150.0,Medium
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1181.0,Medium
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1015.0,Medium
seputeh,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1460.0,Medium
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1484.0,Medium
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1188.0,Medium
sentul,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,820.0,Medium
sentul,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,738.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1250.0,Medium
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1188.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
bukit jalil,4,2.0,3.0,Condominium,Unfurnished,Corner,Built-up,1212.0,Medium
kuchai lama,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1450.0,Medium
pantai,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1495.0,Medium
bukit jalil,3,2.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1212.0,Medium
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1188.0,Medium
bukit jalil,4,3.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,1212.0,Medium
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1188.0,Medium
bangsar,2,1.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,800.0,Medium
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,1440.0,Medium
sentul,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,738.0,Medium
setapak,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1362.0,Medium
kuchai lama,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1474.0,Medium
cheras,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1461.0,Medium
kuchai lama,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,1474.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,992.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,EndLot,Land area,1212.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
kuchai lama,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1474.0,Medium
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1164.0,Medium
mont kiara,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1087.0,Medium
taman desa,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1110.0,Medium
sentul,4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
bukit jalil,4,2.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1212.0,Medium
cheras,4,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1315.0,Medium
sentul,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,999.0,Medium
sentul,3,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
mont kiara,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1250.0,Medium
sentul,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1345.0,Medium
bukit bintang,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1345.0,Medium
sentul,4,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1345.0,Medium
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1049.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1276.0,Medium
sungai besi,4,3.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,1449.0,Medium
dutamas,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1614.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
city centre,4,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1508.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1325.0,Medium
sungai besi,4,4.0,3.0,Condominium,Unfurnished,EndLot,Built-up,1449.0,Medium
segambut,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,990.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1234.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1168.0,Medium
cheras,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1500.0,Medium
taman tun dr ismail,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1460.0,Medium
sentul,2,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,999.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,935.0,Medium
segambut,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1021.0,Medium
sentul,4,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1404.0,Medium
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1400.0,Medium
mont kiara,5,3.0,2.0,Condominium,Unfurnished,Intermediate,Land area,1518.0,Medium
bandar menjalara,5,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1635.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,935.0,Medium
jalan klang lama (old klang road),4,4.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1440.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Corner,Land area,1404.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1325.0,Medium
kuchai lama,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1451.0,Medium
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,EndLot,Built-up,1320.0,Medium
cheras,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1315.0,Medium
wangsa maju,3,2.0,2.0,Condominium,Partly Furnished,Corner,Land area,1085.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
segambut,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1168.0,Medium
bandar menjalara,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1316.0,Medium
segambut,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1643.0,Medium
brickfields,3,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,822.0,Medium
segambut,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1643.0,Medium
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1206.0,Medium
pantai,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1323.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1268.0,Medium
sentul,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,738.0,Medium
pantai,2,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1150.0,Medium
seputeh,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1025.0,Medium
pantai,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1250.0,Medium
pantai,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1300.0,Medium
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1164.0,Medium
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1300.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Medium
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,935.0,Medium
pantai,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1300.0,Medium
pantai,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1300.0,Medium
mont kiara,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1423.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1192.0,Medium
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1250.0,Medium
sentul,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1115.0,Medium
setapak,4,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1500.0,Medium
klcc,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1350.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1404.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1325.0,Medium
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1350.0,Medium
cheras,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1460.0,Medium
ampang,3,2.0,1.0,Condominium,Fully Furnished,Corner,Land area,1000.0,Medium
taman tun dr ismail,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1100.0,Medium
taman tun dr ismail,2,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1130.0,Medium
jalan klang lama (old klang road),4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,1208.0,Medium
pantai,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1500.0,Medium
titiwangsa,4,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1380.0,Medium
ampang,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,950.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1236.0,Medium
cheras,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1460.0,Medium
cheras,4,2.0,3.0,Condominium,Partly Furnished,Corner,Built-up,1461.0,Medium
mont kiara,4,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1001.0,Medium
jalan ipoh,5,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1500.0,Medium
bandar menjalara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1260.0,Medium
klcc,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,980.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1130.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1254.0,Medium
mont kiara,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1050.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1168.0,Medium
mont kiara,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1000.0,Medium
mont kiara,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1000.0,Medium
ampang,5,4.0,2.0,Condominium,Partly Furnished,Penthouse,Built-up,3000.0,Medium
batu caves,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1096.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1500.0,Medium
bukit jalil,3,2.0,3.0,Condominium,Fully Furnished,Corner,Land area,1216.0,Medium
sri hartamas,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1250.0,Medium
mont kiara,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Medium
sentul,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,738.0,Medium
city centre,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1319.0,Medium
mont kiara,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1050.0,Medium
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1598.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
segambut,4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1643.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1325.0,Medium
ampang hilir,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1300.0,Medium
mont kiara,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1260.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1438.0,Medium
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1170.0,Medium
bangsar,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,624.0,Medium
dutamas,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1625.0,Medium
sentul,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,935.0,Medium
jalan klang lama (old klang road),5,3.0,2.0,Condominium,Unfurnished,Intermediate,Land area,1433.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1110.0,Medium
bukit jalil,3,2.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1313.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1100.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1250.0,Medium
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1518.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1250.0,Medium
sentul,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1163.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Land area,1325.0,Medium
sentul,4,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1355.0,Medium
bandar menjalara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1316.0,Medium
jalan kuching,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1260.0,Medium
pantai,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1019.0,Medium
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1015.0,Medium
wangsa maju,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,991.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1212.0,Medium
setapak,5,3.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1588.0,Medium
taman tun dr ismail,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1281.0,Medium
klcc,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1350.0,Medium
jalan ipoh,3,2.0,3.0,Condominium,Partly Furnished,Corner,Built-up,1271.0,Medium
brickfields,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1150.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
taman tun dr ismail,3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1281.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1454.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
sentul,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1345.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1472.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Fully Furnished,Corner,Land area,1208.0,Medium
sentul,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1087.0,Medium
mont kiara,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1050.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1400.0,Medium
mont kiara,4,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1001.0,Medium
ampang hilir,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1420.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1150.0,Medium
jalan klang lama (old klang road),4,4.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1329.0,Medium
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1093.0,Medium
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1164.0,Medium
cheras,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1482.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1325.0,Medium
dutamas,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1100.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1325.0,Medium
setiawangsa,3,2.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,1257.0,Medium
sentul,3,3.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,999.0,Medium
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1250.0,Medium
sentul,3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,999.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1325.0,Medium
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1484.0,Medium
sentul,2,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,999.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1168.0,Medium
cheras,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1460.0,Medium
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1454.0,Medium
bukit jalil,3,2.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1212.0,Medium
segambut,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1600.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1110.0,Medium
city centre,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Medium
mont kiara,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1012.0,Medium
segambut,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1076.0,Medium
city centre,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1207.0,Medium
sentul,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1345.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1300.0,Medium
jalan kuching,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1260.0,Medium
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1164.0,Medium
sentul,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,819.0,Medium
jalan klang lama (old klang road),5,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1448.0,Medium
wangsa maju,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1000.0,Medium
sentul,3,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,999.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
ampang hilir,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1300.0,Medium
jalan klang lama (old klang road),5,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1448.0,Medium
setapak,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1563.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Land area,1170.0,Medium
cheras,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1478.0,Medium
wangsa maju,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1265.0,Medium
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1328.0,Medium
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Medium
mont kiara,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1048.0,Medium
sungai besi,3,2.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1140.0,Medium
mont kiara,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1048.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1100.0,Medium
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1170.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1351.0,Medium
klcc,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,907.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1200.0,Medium
jalan klang lama (old klang road),4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1440.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1235.0,Medium
segambut,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1021.0,Medium
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1000.0,Medium
jalan kuching,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1400.0,Medium
sentul,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1342.0,Medium
jalan klang lama (old klang road),5,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1433.0,Medium
cheras,2,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,803.0,Medium
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1206.0,Medium
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1421.0,Medium
setapak,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1447.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1168.0,Medium
sentul,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1363.0,Medium
kuchai lama,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1474.0,Medium
sentul,4,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1105.0,Medium
sentul,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1170.0,Medium
kuchai lama,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1421.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1325.0,Medium
wangsa maju,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1515.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1168.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1404.0,Medium
jalan kuching,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1500.0,Medium
mont kiara,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1432.0,Medium
sentul,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1345.0,Medium
bukit jalil,4,2.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1212.0,Medium
mont kiara,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1055.0,Medium
klcc,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,900.0,Medium
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1300.0,Medium
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1178.0,Medium
seputeh,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1025.0,Medium
mont kiara,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1426.0,Medium
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1100.0,Medium
bandar menjalara,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1366.0,Medium
sentul,4,2.0,3.0,Condominium,Fully Furnished,Corner,Built-up,1081.0,Medium
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1200.0,Medium
sri petaling,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1500.0,Medium
wangsa maju,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1267.0,Medium
pantai,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1465.0,Medium
bandar menjalara,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1316.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1232.0,Medium
mont kiara,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1250.0,Medium
cheras,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1450.0,Medium
ampang,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,793.0,Medium
