Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,861.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,861.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,755.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
sri petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
bukit jalil,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,967.0,Low
cheras,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,958.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
bukit jalil,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,845.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,950.0,Low
bukit jalil,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,755.0,Low
sri petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
sri petaling,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1076.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Land area,1066.0,Low
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1066.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,803.0,Low
jalan kuching,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,869.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,870.0,Low
cheras,4,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,903.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,869.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,EndLot,Built-up,861.0,Low
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,700.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Land area,869.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,869.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,900.0,Low
sri petaling,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,882.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Land area,861.0,Low
sentul,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1083.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,755.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,900.0,Low
sentul,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,969.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Land area,886.0,Low
desa petaling,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1141.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,741.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,780.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,915.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,755.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,EndLot,Built-up,715.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1024.0,Low
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,989.0,Low
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,714.0,Low
desa petaling,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1141.0,Low
sentul,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,973.0,Low
